country,ldn,nbsap,ndc,bonn_challenge,single_highest_commitment,middle_estimate,middle_estimate_rio
Sao Tome and Principe,32000,0,0,0,32000,32000,32000
Senegal,600200,0,0,2000000,2000000,2000000,600200
Seychelles,10005,0,3,0,10005,10005,10005
Sierra Leone,2307000,0,19000,700000,2307000,2989500,2307000
Somalia,972084,500500,0,0,972084,1454096,1454096
South Africa,17193500,0,0,3600000,17193500,18984000,17193500
South Sudan,5116460,0,0,0,5116460,5116460,5116460
Sudan,12336842,0,9607950,14600000,14600000,34838192,21938192
Tanzania,24190826,0,0,5200000,24190826,24190826,24190826
Togo,304737,0,34400,1400000,1400000,1704737,304737
Uganda,3107777,211250,200000,2500000,3107777,5122908,2822908
Zambia,2831750,0,0,0,2831750,2831750,2831750
Zimbabwe,8293732,0,550000,2000000,8293732,8706187,8706187
France,0,150000,0,0,150000,150000,150000
Hungary,0,204000,0,0,204000,204000,204000
Iceland,0,0,0,350000,350000,350000,0
Ireland,0,164000,0,0,164000,164000,164000
Italy,2425000,0,0,0,2425000,2425000,2425000
Scotland,0,0,0,170000,170000,170000,0
Serbia,100000,0,0,0,100000,100000,100000
Spain,0,222000,0,0,222000,222000,222000
Sweden,0,1714000,0,0,1714000,1714000,1714000
Turkey,8470801,0,0,2300000,8470801,9270801,8470801
United Kingdom of Great Britain and Northern Ireland,0,211240,0,0,211240,211240,211240
,,,,,,,
Total,614117654,99223096,291437598,205031080,955108371,1154129598,984507324
